               Parameter Strongly Adapting Model                     Weakly Adapting Model 1                     Weakly Adapting Model 2                    
               Parameter                  Brian1    Brian2    NEURON                  Brian1    Brian2    NEURON                  Brian1    Brian2    NEURON
1             spikecount                     0.0       0.0       0.0                     0.0       0.0       0.0                     0.0       0.0       0.0
2    time_to_first_spike                     0.0  0.024456  0.069067                     0.0  0.017226  0.038125                     0.0       0.0  0.031042
3   time_to_second_spike                     0.0  0.024004  0.076763                     0.0  0.012641  0.049059                     0.0  0.011061  0.038902
4     time_to_last_spike                     0.0  0.006767  0.058096                     0.0  0.007547  0.051772                     0.0       0.0  0.043172
5                AP1_amp                     0.0  0.428135  0.404822                     0.0  0.293917   0.27265                     0.0  0.230816  0.229999
6                AP2_amp                     0.0   0.50784  0.376988                     0.0  0.305272  0.353042                     0.0  0.294582  0.290318
7             APlast_amp                     0.0  0.416719  0.443951                     0.0  0.306285  0.368254                     0.0  0.231149  0.317855
8              AP1_width                     0.0  0.652985  0.559701                     0.0  0.531587  0.493066                     0.0  0.462131  0.400513
9              AP2_width                     0.0  0.649351  0.500928                     0.0  0.466361  0.351682                     0.0  0.378457  0.269287
10          APlast_width                     0.0  0.613383  0.613383                     0.0  0.400593  0.378338                     0.0  0.423174   0.43073
11              iv_curve                    -0.0      -0.0 -0.019811                    -0.0      -0.0      -0.0                    -0.0      -0.0      -0.0
